epoch,lr,train_loss,train_loss_classifier,train_loss_box_reg,train_loss_objectness,train_loss_rpn_box_reg,val_loss,val_loss_classifier,val_loss_box_reg,val_loss_objectness,val_loss_rpn_box_reg,precision,recall,f1,tp,fp,fn
1,0.0002,0.18980073608496847,0.06409183146627129,0.020275713790639808,0.09699324972073858,0.00843993952536645,0.10903826261249681,0.058219837990236556,0.0298877628830572,0.014390750283685824,0.006539910620388886,0.0,0.0,0.0,0.0,1.0,26.0
2,0.00019876883405951377,0.08689713349740487,0.04268456783041377,0.02608892509403328,0.013321405637543648,0.004802234055387089,0.09035432438055674,0.038101584650576115,0.03079717919851343,0.01665699859149754,0.004798562716071804,0.06382978723404255,0.23076923076923078,0.1,6.0,88.0,20.0
3,0.00019510565162951537,0.08474628709712609,0.04072358889194826,0.03052701787285817,0.009386804746463894,0.004108875011540173,0.08810829194262623,0.03729472536845909,0.024459824113485715,0.019773335079662502,0.006580407599297663,0.25,0.15384615384615385,0.1904761904761905,4.0,12.0,22.0
4,0.0001891006524188368,0.08411971216943735,0.03994916475118468,0.03130051441451845,0.0094534460377569,0.0034165867839571246,0.11959039497305639,0.05880446940670178,0.04067379605645935,0.014595596461246411,0.005516534725514551,0.25,0.038461538461538464,0.06666666666666668,1.0,3.0,25.0
5,0.00018090169943749476,0.10135369910033963,0.05029470074902444,0.03941446723183617,0.008459979288939696,0.0031845522062212694,0.18801150823710486,0.11083309415280382,0.04488387817206482,0.025673722731880844,0.006620815477799624,0.0,0.0,0.0,0.0,0.0,26.0
6,0.00017071067811865476,0.10453391495102551,0.051538366166035604,0.042647422195295805,0.007491121950442903,0.002857004369434435,0.1287764099542983,0.05980468085811784,0.050372933177277444,0.014343430295897026,0.004255368201605355,0.2727272727272727,0.23076923076923078,0.24999999999999994,6.0,16.0,20.0
7,0.00015877852522924732,0.12159178715228336,0.060255744591995605,0.0530400730795615,0.005695143450672428,0.002600825678867598,0.1310566711705178,0.06539205534694095,0.050655784628664456,0.011407665939380725,0.0036011632143830258,0.20689655172413793,0.23076923076923078,0.21818181818181817,6.0,23.0,20.0
8,0.00014539904997395468,0.10510852581792278,0.050202668666861426,0.0478269075586771,0.004825984153042858,0.0022529650494107047,0.1289290759479627,0.06381386496456495,0.047624914161860946,0.01305637345261251,0.004433925995059932,0.17142857142857143,0.23076923076923078,0.19672131147540986,6.0,29.0,20.0
9,0.00013090169943749476,0.12728672145361392,0.0603656450044582,0.060314835716659826,0.004476212130490846,0.002130028830045679,0.10635502074534695,0.0522814167663455,0.037575918296352026,0.012903499083283048,0.0035941877285949886,0.1875,0.46153846153846156,0.26666666666666666,12.0,52.0,14.0
10,0.00011564344650402312,nan,nan,nan,0.00336077969307856,0.0018270856783298465,0.1891910263899869,0.10234719885241551,0.07069255212942759,0.012473136799720426,0.0036781411152333023,0.2857142857142857,0.3076923076923077,0.29629629629629634,8.0,20.0,18.0
11,0.00010000000000000002,0.18712787922365048,0.08426202527702269,0.09880883625398079,0.002398866642518745,0.0016581524536983731,0.20017718352222194,0.10497589709702879,0.07251136562166115,0.018799778756995997,0.003890143777243793,0.17307692307692307,0.34615384615384615,0.23076923076923078,9.0,43.0,17.0
12,8.435655349597696e-05,0.1683944009615516,0.07743926735250474,0.08639401958013575,0.0030235149070601134,0.001537598948198138,0.2727774286516554,0.14485934822490285,0.10252263667061925,0.021088059273703646,0.004307386806855599,0.3055555555555556,0.4230769230769231,0.3548387096774194,11.0,25.0,15.0
13,6.909830056250529e-05,0.17212823905744395,0.06977069064993581,0.09906666114305457,0.0020054558564879697,0.001285431125628141,0.26868318219834086,0.1453767893355689,0.09705000706017017,0.02155080919813675,0.004705578616509835,0.47619047619047616,0.38461538461538464,0.42553191489361697,10.0,11.0,16.0
14,5.460095002604534e-05,nan,nan,nan,0.002127176312327113,0.0011981063823138054,nan,nan,nan,0.012544012360740453,0.003030190089096626,0.375,0.34615384615384615,0.35999999999999993,9.0,15.0,17.0
15,4.122147477075271e-05,nan,nan,nan,0.0015034230587237592,0.0010027260455899522,0.35148363780632885,0.20350687155914784,0.12159906970337034,0.02299175490819228,0.0033859412505989894,0.2962962962962963,0.3076923076923077,0.3018867924528302,8.0,19.0,18.0
16,2.928932188134526e-05,nan,nan,nan,0.0015338935680119902,0.0009009773906048698,0.3675659104153965,0.2152557469963237,0.12812597677111626,0.02090021960126857,0.0032839687196731878,0.5625,0.34615384615384615,0.4285714285714286,9.0,7.0,17.0
17,1.909830056250527e-05,nan,nan,nan,0.0012998808875029984,0.0007556145722143507,nan,nan,nan,0.01862073873053305,0.0029702884901780637,0.38461538461538464,0.38461538461538464,0.38461538461538464,10.0,16.0,16.0
18,1.0899347581163223e-05,nan,nan,nan,0.0011754453797038877,0.0006542957237494799,nan,nan,nan,0.01887215384049341,0.0029361447649231803,0.55,0.4230769230769231,0.47826086956521735,11.0,9.0,15.0
19,4.8943483704846475e-06,nan,nan,nan,0.0013051406173569073,0.0006449509134199616,nan,nan,nan,0.02132124267712546,0.0031202709961992998,0.5652173913043478,0.5,0.5306122448979592,13.0,10.0,13.0
20,1.2311659404862343e-06,nan,nan,nan,0.0011071185261547118,0.0006359029845498298,nan,nan,nan,0.021220330154756085,0.0031533042648031065,0.5652173913043478,0.5,0.5306122448979592,13.0,10.0,13.0
